ENSMUSG00000018574|Acadvl
ENSMUSG00000029499|Pxmp2
ENSMUSG00000019139|Isyna1
ENSMUSG00000022490|Ppp1r1a
ENSMUSG00000007097|Atp1a2
ENSMUSG00000015090|Ptgds
ENSMUSG00000029335|Bmp3
ENSMUSG00000028944|Prkag2
ENSMUSG00000026433|Rab29
ENSMUSG00000013275|Slc41a1
ENSMUSG00000041650|Pcca
