ENSMUSG00000005583|Mef2c
ENSMUSG00000038331|Satb2
ENSMUSG00000013236|Ptprs
ENSMUSG00000058446|Znrf2
ENSMUSG00000038255|Neurod2
ENSMUSG00000028133|Rwdd3
ENSMUSG00000029765|Plxna4
ENSMUSG00000037605|Adgrl3
ENSMUSG00000072501|Phf20l1
ENSMUSG00000032340|Neo1
ENSMUSG00000044071|Fam19a2
