ENSMUSG00000040282|BC052040
ENSMUSG00000023033|Scn8a
ENSMUSG00000091400|Gm6356
ENSMUSG00000027316|Gfra4
ENSMUSG00000042155|Klhl23
ENSMUSG00000027584|Oprl1
ENSMUSG00000021265|Slc25a29
ENSMUSG00000050587|Lrrc4c
ENSMUSG00000104597|B230334C09Rik
ENSMUSG00000058975|Kcnc1
ENSMUSG00000028351|Brinp1
