ENSMUSG00000016528|Mapkapk2
ENSMUSG00000037966|Ninj1
ENSMUSG00000000078|Klf6
ENSMUSG00000024177|Nme4
ENSMUSG00000027423|Snx5
ENSMUSG00000073412|Lst1
ENSMUSG00000038332|Sesn1
ENSMUSG00000068220|Lgals1
ENSMUSG00000031387|Renbp
ENSMUSG00000028378|Ptgr1
ENSMUSG00000024725|Ostf1
