ENSMUSG00000026277|Stk25
ENSMUSG00000041231|Ublcp1
ENSMUSG00000011958|Bnip2
ENSMUSG00000030660|Pik3c2a
ENSMUSG00000032312|Csk
ENSMUSG00000039263|Npepl1
ENSMUSG00000078515|Ddi2
ENSMUSG00000013076|Amotl1
ENSMUSG00000041560|Nop53
ENSMUSG00000024442|0610009O20Rik
ENSMUSG00000020463|Ppp4r3b
