ENSMUSG00000018548|Trim37
ENSMUSG00000036501|Fam13b
ENSMUSG00000058239|Usf2
ENSMUSG00000042423|Fbrs
ENSMUSG00000022191|Drosha
ENSMUSG00000038002|Cramp1l
ENSMUSG00000029020|Mfn2
ENSMUSG00000068917|Clk2
ENSMUSG00000002105|Slc39a13
ENSMUSG00000035203|Epn1
ENSMUSG00000018537|Pcgf2
