ENSMUSG00000038143|Stox2
ENSMUSG00000028358|Zfp618
ENSMUSG00000040957|Cables1
ENSMUSG00000042302|Ehbp1
ENSMUSG00000028195|Cyr61
ENSMUSG00000042744|Hectd4
ENSMUSG00000023904|Hcfc1r1
ENSMUSG00000036957|Lrfn3
ENSMUSG00000006315|Tmem147
ENSMUSG00000024847|Aip
ENSMUSG00000035798|Zdhhc17
