ENSMUSG00000045098|Kmt5b
ENSMUSG00000092607|Scnm1
ENSMUSG00000038848|Ythdf1
ENSMUSG00000021716|Srek1ip1
ENSMUSG00000023020|Cox14
ENSMUSG00000023025|Larp4
ENSMUSG00000053110|Yap1
ENSMUSG00000049106|Dcaf5
ENSMUSG00000022833|Ccdc14
ENSMUSG00000046792|Zfp787
ENSMUSG00000040029|Ipo8
