ENSMUSG00000024767|Otub1
ENSMUSG00000020273|Papolg
ENSMUSG00000006920|Ezh1
ENSMUSG00000022420|Dnal4
ENSMUSG00000021038|Vipas39
ENSMUSG00000104222|Gm7292
ENSMUSG00000026696|Vamp4
ENSMUSG00000042901|Aida
ENSMUSG00000032434|Cmtm6
ENSMUSG00000034194|R3hcc1
ENSMUSG00000042444|Mindy2
