ENSMUSG00000029223|Uchl1
ENSMUSG00000032269|Htr3a
ENSMUSG00000029348|Asphd2
ENSMUSG00000037979|Ccdc92
ENSMUSG00000022964|Tmem50b
ENSMUSG00000031391|L1cam
ENSMUSG00000015599|Ttbk1
ENSMUSG00000035847|Ids
ENSMUSG00000033707|Lrrc24
ENSMUSG00000018865|Sult4a1
ENSMUSG00000035964|Tmem59l
