ENSMUSG00000052062|Pard3b
ENSMUSG00000102752|Gm7694
ENSMUSG00000040183|Ankrd6
ENSMUSG00000033720|Sfxn5
ENSMUSG00000029769|Ccdc136
ENSMUSG00000075012|Fjx1
ENSMUSG00000032182|Yipf2
ENSMUSG00000052298|Cdc42se2
ENSMUSG00000038497|Tmco3
ENSMUSG00000033578|Tmem35a
ENSMUSG00000045414|1190002N15Rik
