ENSMUSG00000091955|Gm9844
ENSMUSG00000032564|Cpne4
ENSMUSG00000041703|Zic5
ENSMUSG00000024985|Tcf7l2
ENSMUSG00000027221|Chst1
ENSMUSG00000050248|Evc2
ENSMUSG00000044674|Fzd1
ENSMUSG00000055761|Nkain3
ENSMUSG00000030226|Lmo3
ENSMUSG00000042596|Tfap2d
ENSMUSG00000021219|Rgs6
