ENSMUSG00000028382|Ptbp3
ENSMUSG00000036622|Atp13a2
ENSMUSG00000026972|Arrdc1
ENSMUSG00000030541|Idh2
ENSMUSG00000107002|0610012G03Rik
ENSMUSG00000027775|Mfsd1
ENSMUSG00000007833|Aldh16a1
ENSMUSG00000027639|Samhd1
ENSMUSG00000062382|Ftl1-ps1
ENSMUSG00000028923|Necap2
ENSMUSG00000003200|Sh3gl1
