ENSMUSG00000046753|Ccdc66
ENSMUSG00000091183|Gm5141
ENSMUSG00000048930|Tada3
ENSMUSG00000062101|Zfp119b
ENSMUSG00000032557|Uba5
ENSMUSG00000033589|Reep4
ENSMUSG00000031311|Nono
ENSMUSG00000024695|Zfp91
ENSMUSG00000002718|Cse1l
ENSMUSG00000030655|Smg1
ENSMUSG00000034906|Ncaph
