ENSMUSG00000024870|Rab1b
ENSMUSG00000018171|Vmp1
ENSMUSG00000021248|Tmed10
ENSMUSG00000020515|Cnot8
ENSMUSG00000020700|Map3k3
ENSMUSG00000022329|Stk3
ENSMUSG00000022772|Senp5
ENSMUSG00000020190|Mknk2
ENSMUSG00000020076|Ddx50
ENSMUSG00000043535|Setx
ENSMUSG00000025860|Xiap
