ENSMUSG00000029076|Sdf4
ENSMUSG00000045078|Rnf216
ENSMUSG00000038398|Upf3a
ENSMUSG00000023952|Gtpbp2
ENSMUSG00000029030|Tprgl
ENSMUSG00000025745|Hadha
ENSMUSG00000038990|Cables2
ENSMUSG00000025825|Iscu
ENSMUSG00000024002|Brd4
ENSMUSG00000028868|Wasf2
ENSMUSG00000024073|Birc6
