ENSMUSG00000039478|Micu3
ENSMUSG00000038187|Btbd10
ENSMUSG00000032485|Scap
ENSMUSG00000019082|Slc25a22
ENSMUSG00000033065|Pfkm
ENSMUSG00000027430|Dtd1
ENSMUSG00000018995|Nars2
ENSMUSG00000023827|Agpat4
ENSMUSG00000029916|Agk
ENSMUSG00000044433|Camsap3
ENSMUSG00000071855|Ccdc112
