ENSMUSG00000022382|Wnt7b
ENSMUSG00000021572|Cep72
ENSMUSG00000105851|9130604C24Rik
ENSMUSG00000029056|Pank4
ENSMUSG00000004891|Nes
ENSMUSG00000054252|Fgfr3
ENSMUSG00000022686|B3gnt5
ENSMUSG00000047749|Zc3hav1l
ENSMUSG00000099928|Gm29202
ENSMUSG00000036009|Mettl25
ENSMUSG00000037022|Mmaa
