ENSMUSG00000020799|Tekt1
ENSMUSG00000039254|Pomt1
ENSMUSG00000021671|Poc5
ENSMUSG00000075273|Ttc30b
ENSMUSG00000031156|Slc35a2
ENSMUSG00000074358|Ccdc61
ENSMUSG00000022476|Polr3h
ENSMUSG00000021552|Gkap1
ENSMUSG00000029669|Tspan12
ENSMUSG00000024076|Vit
ENSMUSG00000027574|Nkain4
