ENSMUSG00000022962|Gart
ENSMUSG00000018583|G3bp1
ENSMUSG00000027424|Mgme1
ENSMUSG00000000751|Rpa1
ENSMUSG00000023027|Atf1
ENSMUSG00000034285|Nipsnap1
ENSMUSG00000047146|Tet1
ENSMUSG00000037364|Srrt
ENSMUSG00000032309|Fbxo22
ENSMUSG00000028807|Zbtb8a
ENSMUSG00000031671|Setd6
