ENSMUSG00000063334|Krr1
ENSMUSG00000065990|Aurkaip1
ENSMUSG00000064068|Mtx1
ENSMUSG00000039756|Dnttip2
ENSMUSG00000030652|Coq7
ENSMUSG00000052337|Immt
ENSMUSG00000022111|Uchl3
ENSMUSG00000007656|Arpp19
ENSMUSG00000016253|Nelfcd
ENSMUSG00000017421|Zfp207
ENSMUSG00000063273|Naa15
