ENSMUSG00000021109|Hif1a
ENSMUSG00000034110|Kctd7
ENSMUSG00000029587|Zfp12
ENSMUSG00000028309|Rnf20
ENSMUSG00000032127|Vps11
ENSMUSG00000039178|Tbc1d19
ENSMUSG00000058748|Zfp958
ENSMUSG00000040446|Rprd1a
ENSMUSG00000019761|Krt10
ENSMUSG00000054708|Ankrd24
ENSMUSG00000024477|Pggt1b
