ENSMUSG00000020910|Adprm
ENSMUSG00000002031|Ift46
ENSMUSG00000053286|Trmt1l
ENSMUSG00000022013|Dnajc15
ENSMUSG00000022064|Pibf1
ENSMUSG00000006717|Acot13
ENSMUSG00000027942|4933434E20Rik
ENSMUSG00000047193|Dync2h1
ENSMUSG00000020801|Med31
ENSMUSG00000039108|Lsm14b
ENSMUSG00000028743|Akr7a5
