ENSMUSG00000036873|2410004B18Rik
ENSMUSG00000024830|Rps6kb2
ENSMUSG00000025950|Idh1
ENSMUSG00000026135|Zfp142
ENSMUSG00000039233|Tbce
ENSMUSG00000020740|Gga3
ENSMUSG00000038957|Edc3
ENSMUSG00000016541|Atxn10
ENSMUSG00000039163|Cmc1
ENSMUSG00000037816|Fbxw17
ENSMUSG00000086401|Gm15559
