ENSMUSG00000020986|Sec23a
ENSMUSG00000019951|Uhrf1bp1l
ENSMUSG00000055320|Tead1
ENSMUSG00000002578|Ikzf4
ENSMUSG00000042628|Zfyve1
ENSMUSG00000020319|Wdpcp
ENSMUSG00000057738|Sptan1
ENSMUSG00000028136|Snx27
ENSMUSG00000079467|Gm14966
ENSMUSG00000002546|Golga2
ENSMUSG00000028456|Unc13b
