ENSMUSG00000027454|Gins1
ENSMUSG00000022945|Chaf1b
ENSMUSG00000027490|E2f1
ENSMUSG00000044390|Tigd3
ENSMUSG00000021713|Ppwd1
ENSMUSG00000067879|3110035E14Rik
ENSMUSG00000047904|Sstr2
ENSMUSG00000046668|Cxxc5
ENSMUSG00000018470|Kcnab3
ENSMUSG00000039985|Fam60a
ENSMUSG00000070713|Gm10282
