ENSMUSG00000060860|Ube2s
ENSMUSG00000015087|Rabl6
ENSMUSG00000032253|Phip
ENSMUSG00000045409|Trim39
ENSMUSG00000037234|Hook3
ENSMUSG00000012483|Rpa3
ENSMUSG00000037098|Rab11fip3
ENSMUSG00000049764|Zfp280b
ENSMUSG00000004677|Myo9b
ENSMUSG00000079109|Pms2
ENSMUSG00000048874|Phf3
