ENSMUSG00000023942|Slc29a1
ENSMUSG00000058297|Spock2
ENSMUSG00000022537|Tmem44
ENSMUSG00000041112|Elmo1
ENSMUSG00000027630|Tbl1xr1
ENSMUSG00000062300|Nectin2
ENSMUSG00000036890|Gtdc1
ENSMUSG00000022272|Myo10
ENSMUSG00000034471|Caskin2
ENSMUSG00000079509|Zfx
ENSMUSG00000019891|Dcbld1
