ENSMUSG00000006304|Arpc2
ENSMUSG00000000876|Pxmp4
ENSMUSG00000049775|Tmsb4x
ENSMUSG00000019920|Lims1
ENSMUSG00000069631|Strada
ENSMUSG00000059436|Max
ENSMUSG00000040385|Ppp1ca
ENSMUSG00000004626|Stxbp2
ENSMUSG00000030835|Nomo1
ENSMUSG00000028745|Capzb
ENSMUSG00000001847|Rac1
