ENSMUSG00000087377|AV099323
ENSMUSG00000020277|Pfkl
ENSMUSG00000091900|Gm4353
ENSMUSG00000030838|Ush1c
ENSMUSG00000051515|Fam181b
ENSMUSG00000025353|Ormdl2
ENSMUSG00000023852|Chd1
ENSMUSG00000073705|Cenps
ENSMUSG00000040204|Pclaf
ENSMUSG00000029404|Arl6ip4
ENSMUSG00000048668|Rhno1
