ENSMUSG00000020075|Ddx21
ENSMUSG00000040044|Orc3
ENSMUSG00000040888|Gfer
ENSMUSG00000029066|Mrpl20
ENSMUSG00000020477|Mrps24
ENSMUSG00000024436|Mrps18b
ENSMUSG00000028683|Eif2b3
ENSMUSG00000000168|Dlat
ENSMUSG00000041408|Wapl
ENSMUSG00000020219|Timm13
ENSMUSG00000020485|Supt4a
