ENSMUSG00000034413|Neurl1b
ENSMUSG00000037735|2810032G03Rik
ENSMUSG00000054459|Vsnl1
ENSMUSG00000025743|Sdc3
ENSMUSG00000031227|Magee1
ENSMUSG00000049148|Plcxd3
ENSMUSG00000053985|Zfp14
ENSMUSG00000049281|Scn3b
ENSMUSG00000048807|Slc35e4
ENSMUSG00000024897|Apba1
ENSMUSG00000040896|Kcnd3
