ENSMUSG00000033854|Kcnk10
ENSMUSG00000045587|BC049730
ENSMUSG00000029863|Casp2
ENSMUSG00000070348|Ccnd1
ENSMUSG00000038544|Inip
ENSMUSG00000022305|Lrp12
ENSMUSG00000030322|Mbd4
ENSMUSG00000097908|4933404O12Rik
ENSMUSG00000050410|Tcf19
ENSMUSG00000020649|Rrm2
ENSMUSG00000022369|Mtbp
