ENSMUSG00000030689|Ino80e
ENSMUSG00000027680|Fxr1
ENSMUSG00000020329|Polrmt
ENSMUSG00000101892|9130401M01Rik
ENSMUSG00000000568|Hnrnpd
ENSMUSG00000051256|Jagn1
ENSMUSG00000027599|Armc1
ENSMUSG00000022359|Wdyhv1
ENSMUSG00000030990|Pgap2
ENSMUSG00000020361|Hspa4
ENSMUSG00000000171|Sdhd
