ENSMUSG00000020297|Nsg2
ENSMUSG00000059146|Ntrk3
ENSMUSG00000000861|Bcl11a
ENSMUSG00000026514|Cnih3
ENSMUSG00000022957|Itsn1
ENSMUSG00000114210|A330084C13Rik
ENSMUSG00000025810|Nrp1
ENSMUSG00000028780|Sema3c
ENSMUSG00000042045|Sln
ENSMUSG00000001911|Nfix
ENSMUSG00000026235|Epha4
