ENSMUSG00000016257|Prelid3b
ENSMUSG00000055334|Snupn
ENSMUSG00000033628|Pik3c3
ENSMUSG00000020680|Taf15
ENSMUSG00000057181|5730455P16Rik
ENSMUSG00000069114|Zbtb10
ENSMUSG00000030313|Dennd5b
ENSMUSG00000021432|Slc35b3
ENSMUSG00000015747|Vps45
ENSMUSG00000045519|Zfp560
ENSMUSG00000026028|Trak2
