ENSMUSG00000097280|AI849053
ENSMUSG00000053007|Creb5
ENSMUSG00000113835|Gm19554
ENSMUSG00000022129|Dct
ENSMUSG00000024301|Kifc5b
ENSMUSG00000045179|Sox3
ENSMUSG00000053117|E330013P04Rik
ENSMUSG00000050334|C130071C03Rik
ENSMUSG00000041912|Tdrkh
ENSMUSG00000031016|Wee1
ENSMUSG00000087095|Emx2os
