ENSMUSG00000021930|Spryd7
ENSMUSG00000000355|Mcts1
ENSMUSG00000045193|Cirbp
ENSMUSG00000023089|Ndufa5
ENSMUSG00000006699|Cdc42
ENSMUSG00000019998|Stx7
ENSMUSG00000044876|Zfp444
ENSMUSG00000070858|Gm1673
ENSMUSG00000067847|Romo1
ENSMUSG00000019923|Zwint
ENSMUSG00000070705|Eid2b
