ENSMUSG00000041645|Ddx24
ENSMUSG00000030738|Eif3c
ENSMUSG00000025381|Cnpy2
ENSMUSG00000029504|Ddx51
ENSMUSG00000023944|Hsp90ab1
ENSMUSG00000019808|Adat2
ENSMUSG00000021116|Eif2s1
ENSMUSG00000038806|Sde2
ENSMUSG00000055436|Srsf11
ENSMUSG00000031333|Abcb7
ENSMUSG00000020664|Dld
