ENSMUSG00000025576|Rbfox3
ENSMUSG00000087413|Gm11266
ENSMUSG00000041642|Kif21b
ENSMUSG00000013766|Ly6g6e
ENSMUSG00000087082|Gm15423
ENSMUSG00000087141|Plcxd2
ENSMUSG00000101224|Gm28209
ENSMUSG00000056735|A930024E05Rik
ENSMUSG00000100303|2600014E21Rik
ENSMUSG00000063626|Unc5d
ENSMUSG00000056258|Kcnq3
