ENSMUSG00000055799|Tcf7l1
ENSMUSG00000041921|Metap1d
ENSMUSG00000048078|Tenm4
ENSMUSG00000036606|Plxnb2
ENSMUSG00000032640|Chsy1
ENSMUSG00000059631|1500035N22Rik
ENSMUSG00000023951|Vegfa
ENSMUSG00000030084|Plxna1
ENSMUSG00000050822|Slc29a4
ENSMUSG00000063760|Rnf217
ENSMUSG00000032220|Myo1e
