ENSMUSG00000006676|Usp19
ENSMUSG00000022897|Dyrk1a
ENSMUSG00000051853|Arf3
ENSMUSG00000017715|Pgs1
ENSMUSG00000047205|Dusp18
ENSMUSG00000038437|Mllt6
ENSMUSG00000041609|Bicdl1
ENSMUSG00000025821|Zfp282
ENSMUSG00000038406|Scaf1
ENSMUSG00000029714|Gigyf1
ENSMUSG00000041638|Gcn1l1
