ENSMUSG00000042489|Clspn
ENSMUSG00000039205|Ciz1
ENSMUSG00000033253|Szt2
ENSMUSG00000018809|Smyd4
ENSMUSG00000004642|Slbp
ENSMUSG00000071266|Zfp946
ENSMUSG00000079179|Rab10os
ENSMUSG00000057691|Zfp746
ENSMUSG00000026782|Abi2
ENSMUSG00000038888|Ctu1
ENSMUSG00000005609|Ctr9
