ENSMUSG00000029108|Pcdh7
ENSMUSG00000005338|Cadm3
ENSMUSG00000098659|1110015O18Rik
ENSMUSG00000097090|Gm26724
ENSMUSG00000028385|Snx30
ENSMUSG00000043460|Elfn2
ENSMUSG00000019970|Sgk1
ENSMUSG00000051790|Nlgn2
ENSMUSG00000039840|Epg5
ENSMUSG00000042662|Dusp15
ENSMUSG00000020827|Mink1
