ENSMUSG00000067071|Hes6
ENSMUSG00000028076|Cd1d1
ENSMUSG00000017692|Rhbdl3
ENSMUSG00000061517|Sox21
ENSMUSG00000028680|Plk3
ENSMUSG00000008734|Gprc5b
ENSMUSG00000032601|Prkar2a
ENSMUSG00000068154|Insm1
ENSMUSG00000026447|Pik3c2b
ENSMUSG00000033166|Dis3
ENSMUSG00000031985|Gnpat
