ENSMUSG00000048281|Dleu7
ENSMUSG00000041895|Wipi1
ENSMUSG00000002808|Epdr1
ENSMUSG00000034412|Tbc1d10a
ENSMUSG00000022240|Ctnnd2
ENSMUSG00000022894|Adamts5
ENSMUSG00000045664|Cdc42ep2
ENSMUSG00000003273|Car11
ENSMUSG00000029672|Fam3c
ENSMUSG00000040138|Ndp
ENSMUSG00000023072|Cep89
