ENSMUSG00000004473|Clec11a
ENSMUSG00000032350|Gclc
ENSMUSG00000020868|Xylt2
ENSMUSG00000020474|Polm
ENSMUSG00000036968|Cnpy4
ENSMUSG00000030814|Bcl7c
ENSMUSG00000034021|Pds5b
ENSMUSG00000038372|Gmds
ENSMUSG00000037752|Xkr8
ENSMUSG00000034848|Ttc21b
ENSMUSG00000028857|Tmem222
