ENSMUSG00000037257|Aagab
ENSMUSG00000058706|0610030E20Rik
ENSMUSG00000070394|Tmem256
ENSMUSG00000036820|Amdhd2
ENSMUSG00000036632|Alg5
ENSMUSG00000002957|Ap2a2
ENSMUSG00000047126|Cltc
ENSMUSG00000028692|Akr1a1
ENSMUSG00000020605|Hs1bp3
ENSMUSG00000025464|Paox
ENSMUSG00000034484|Snx2
