ENSMUSG00000023068|Nus1
ENSMUSG00000037373|Ctbp1
ENSMUSG00000050002|Idnk
ENSMUSG00000022812|Gsk3b
ENSMUSG00000019189|Rnf145
ENSMUSG00000022351|Sqle
ENSMUSG00000059743|Fdps
ENSMUSG00000030347|D6Wsu163e
ENSMUSG00000036036|Zfp57
ENSMUSG00000059423|Zfp933
ENSMUSG00000029475|Kdm2b
