ENSMUSG00000031673|Cdh11
ENSMUSG00000020592|Sdc1
ENSMUSG00000042215|Bag2
ENSMUSG00000038991|Txndc5
ENSMUSG00000002059|Rab34
ENSMUSG00000019853|Hebp2
ENSMUSG00000023991|Foxp4
ENSMUSG00000029249|Rest
ENSMUSG00000022106|Rcbtb2
ENSMUSG00000051768|Xrcc1
ENSMUSG00000016262|Sertad4
