ENSMUSG00000042743|Sgtb
ENSMUSG00000038712|Mindy1
ENSMUSG00000000552|Zfp385a
ENSMUSG00000043940|Wdfy3
ENSMUSG00000020453|Patz1
ENSMUSG00000007812|Zfp655
ENSMUSG00000037455|Slc18b1
ENSMUSG00000032435|Dync1li1
ENSMUSG00000039860|Srrm3
ENSMUSG00000024268|Celf4
ENSMUSG00000040272|Accs
