ENSMUSG00000028496|Mllt3
ENSMUSG00000040713|Creg1
ENSMUSG00000000253|Gmpr
ENSMUSG00000038695|Josd2
ENSMUSG00000040466|Blvrb
ENSMUSG00000028124|Gclm
ENSMUSG00000042770|Hebp1
ENSMUSG00000036825|Ssx2ip
ENSMUSG00000052926|Rnaseh2a
ENSMUSG00000059363|Fxn
ENSMUSG00000026614|Slc30a10
