ENSMUSG00000064138|Fam172a
ENSMUSG00000067567|Hdac8
ENSMUSG00000031517|Gpm6a
ENSMUSG00000040557|Mettl27
ENSMUSG00000019883|Echdc1
ENSMUSG00000017453|Pipox
ENSMUSG00000108776|Gm45169
ENSMUSG00000058258|Idi1
ENSMUSG00000031938|4931406C07Rik
ENSMUSG00000011831|Evi5
ENSMUSG00000011837|Snapc2
