ENSMUSG00000037606|Osbpl5
ENSMUSG00000043153|Ispd
ENSMUSG00000019590|Cyb561
ENSMUSG00000024597|Slc12a2
ENSMUSG00000025545|Clybl
ENSMUSG00000022037|Clu
ENSMUSG00000033429|Mcee
ENSMUSG00000019894|Slc6a15
ENSMUSG00000079414|Gm11110
ENSMUSG00000108435|Gm45051
ENSMUSG00000097121|D130020L05Rik
