ENSMUSG00000003402|Prkcsh
ENSMUSG00000026761|Orc4
ENSMUSG00000059920|4930453N24Rik
ENSMUSG00000032407|U2surp
ENSMUSG00000001855|Nup214
ENSMUSG00000022427|Tomm22
ENSMUSG00000041203|Trir
ENSMUSG00000028990|Lzic
ENSMUSG00000025465|Echs1
ENSMUSG00000060288|Ppih
ENSMUSG00000036513|Commd2
