ENSMUSG00000036106|Prr5
ENSMUSG00000027932|Slc27a3
ENSMUSG00000033060|Lmo7
ENSMUSG00000030672|Mylpf
ENSMUSG00000078566|Bnip3
ENSMUSG00000032366|Tpm1
ENSMUSG00000043639|Rbm20
ENSMUSG00000032338|Hcn4
ENSMUSG00000032060|Cryab
ENSMUSG00000056671|Prelid2
ENSMUSG00000058056|Palld
