ENSMUSG00000026463|Atp2b4
ENSMUSG00000024736|Tmem132a
ENSMUSG00000020844|Nxn
ENSMUSG00000023963|Cyp39a1
ENSMUSG00000034687|Fras1
ENSMUSG00000027894|Slc6a17
ENSMUSG00000040913|Fbxw4
ENSMUSG00000008855|Hdac5
ENSMUSG00000037541|Shank2
ENSMUSG00000027864|Ptgfrn
ENSMUSG00000034765|Dusp5
