ENSMUSG00000040943|Tet2
ENSMUSG00000079555|Haus3
ENSMUSG00000030539|Sema4b
ENSMUSG00000069743|Zfp820
ENSMUSG00000029029|Wrap73
ENSMUSG00000027332|Ivd
ENSMUSG00000097767|Miat
ENSMUSG00000042671|Rgs8
ENSMUSG00000023067|Cdkn1a
ENSMUSG00000028211|Trp53inp1
ENSMUSG00000000058|Cav2
