ENSMUSG00000020708|Psmc5
ENSMUSG00000003848|Nob1
ENSMUSG00000057895|Zfp105
ENSMUSG00000042380|Smim12
ENSMUSG00000031403|Dkc1
ENSMUSG00000026248|Mrpl44
ENSMUSG00000031984|2810004N23Rik
ENSMUSG00000026374|Tsn
ENSMUSG00000061360|Phf5a
ENSMUSG00000020840|Blmh
ENSMUSG00000032306|Mpi
