ENSMUSG00000026771|Spopl
ENSMUSG00000039047|Pigk
ENSMUSG00000031982|Arv1
ENSMUSG00000041702|Btbd7
ENSMUSG00000097048|1600020E01Rik
ENSMUSG00000037730|Mynn
ENSMUSG00000030002|Dusp11
ENSMUSG00000039810|Zc3h10
ENSMUSG00000006215|Zbtb17
ENSMUSG00000041341|Atg2b
ENSMUSG00000059995|Atxn7l3
