ENSMUSG00000048497|Mmgt2
ENSMUSG00000050332|Amer1
ENSMUSG00000027001|Dusp19
ENSMUSG00000004561|Mettl17
ENSMUSG00000037253|Mex3c
ENSMUSG00000004394|Tmed4
ENSMUSG00000043467|Zbtb37
ENSMUSG00000047789|Slc38a9
ENSMUSG00000029176|Anapc4
ENSMUSG00000031776|Arl2bp
ENSMUSG00000097743|Gm16973
