ENSMUSG00000021222|Dcaf4
ENSMUSG00000020946|Gosr2
ENSMUSG00000042992|Borcs5
ENSMUSG00000040389|Wdr47
ENSMUSG00000048371|Pdp2
ENSMUSG00000007950|Abhd8
ENSMUSG00000029126|Nsg1
ENSMUSG00000009905|Kdsr
ENSMUSG00000034190|Chmp7
ENSMUSG00000027890|Gstm4
ENSMUSG00000052423|B4galt3
