ENSMUSG00000030770|Parva
ENSMUSG00000045790|Ccdc149
ENSMUSG00000078429|Ctdsp2
ENSMUSG00000031381|Piga
ENSMUSG00000112941|Gm48623
ENSMUSG00000053646|Plxnb1
ENSMUSG00000040274|Cdk6
ENSMUSG00000026313|Hdac4
ENSMUSG00000050910|Cdr2l
ENSMUSG00000021365|Nedd9
ENSMUSG00000039202|Abhd2
