ENSMUSG00000021902|Phf7
ENSMUSG00000002550|Uck1
ENSMUSG00000001034|Mapk7
ENSMUSG00000058440|Nrf1
ENSMUSG00000029128|Rab28
ENSMUSG00000042202|Slc35e2
ENSMUSG00000040250|Ints13
ENSMUSG00000034748|Sirt6
ENSMUSG00000029202|Pds5a
ENSMUSG00000025007|Aldh18a1
ENSMUSG00000015697|Setdb1
